"remote_id","acousticness","danceability","energy","instrumentalness","track_key","liveness","mode","popularity","speechiness","tempo","valence","album_year","genres"
"2YP9nhnzFkrqto5F6NroLQ","0.0020999999","0.6200000048","0.8930000067","0.841000020504","6","0.6230000257","0","2","0.0405000001","132.00300598","0.0373999998","2016","progressive trance, trance, uplifting trance"
"6N8lx2DjmxwB6vM9LnVgaX","0.4909999967","0.4769999981","0.4860000014","0.93699997663498","9","0.1150000021","0","0","0.0452000014","200.01199341","0.0971999988","2016","gabba"
"3TOJM0AgAYimSlJc3VqCRs","1.83e-4","0.7879999876","0.7559999824","0.87999999523163","5","0.126000002","0","0","0.0313000008","127.98699951","0.2039999962","2016","ninja"
"5K90ECOKmaEoaVYZXS6WNf","0.00217","0.7590000033","0.6719999909","0.87699997425079","9","0.2370000035","0","0","0.0417999998","125.00299835","0.9070000052","2016","deep uplifting trance"
"1X4NmZFwEUqSAkGnpZrecx","0.0115","0.7950000167","0.6899999976","0.88099998235703","4","0.1110000014","1","1","0.0566000007","125.9940033","0.3140000105","2016","deep melodic house"
"65ev3gngj42tR1h72oNQel","0.0447999984","0.7549999952","0.6389999986","0.35400000214577","1","0.1099999994","1","0","0.1700000018","128.03999329","0.3190000057","2016","deep progressive house"
"3TK2tuuC3ATa6XtehuLcuJ","0.00636","0.8119999766","0.8970000148","0.54199999570847","6","0.6430000067","1","0","0.0498999991","124.01200104","0.6349999905","2016","minimal melodic techno"
"1l0znf3QmOZFgpcfhFs3Y2","0.0109000001","0.8349999785","0.6809999943","0.88999998569489","0","0.3470000029","1","0","0.0414000005","124.9960022","0.3829999864","2016","progressive trance house"
"0kNB1osq642MkMTs0wW9vN","0.1280000061","0.8500000238","0.7390000224","0.81699997186661","5","0.0934000015","0","0","0.0872000009","124.96199799","0.5310000181","2016","greek house"
"0HHBfZURSMuOOvmThmTPTd","1.8000001e-5","0.8050000072","0.6980000138","0.88099998235703","2","0.0555000007","1","0","0.0445000008","125.0019989","0.3829999864","2016","deep indian pop, filmi"
"1xFdgfxx2ddc7MVIFK9hPs","0.0098599996","0.8000000119","0.4679999948","0.88099998235703","0","0.0995000005","1","1","0.1309999973","121.05400085","0.2430000007","2016","deep indian pop, filmi, indian pop"
"1BwofU570st9mYy4rIGBB3","0.0111999996","0.8000000119","0.4539999962","0.51599997282028","0","0.1209999993","1","0","0.0562999994","120.01200104","0.4670000076","2016","deep progressive house"
"6QvRGwKTtvZpVK8ozjuzlN","0.0307999998","0.7269999981","0.5400000215","0.40900000929832","9","0.1000000015","0","0","0.0544999987","120.01200104","0.871999979","2016","anime"
"1MStxjBvZYfeeOwhwGznJq","3.55e-4","0.7419999838","0.5699999928","0.00535999983549","5","0.0980999991","0","4","0.1420000046","144.02200317","0.7630000114","2016","garage punk blues"
"2jtxbepfxQt9aQ1k6aErBg","0.00189","0.4880000055","0.9330000281","0.9190000295639","9","0.2039999962","1","0","0.0555999987","171.98800659","0.3379999995","2016","balkan brass"
"1peM8XpNcrGZj3Bp4WHegE","8.3400001e-4","0.574000001","0.7960000038","0.83499997854233","1","0.1459999979","1","0","0.3280000091","174.04699707","0.125","2016","balkan brass"
"31yIaAanB0z8P4Cv9Ol57b","0.0058900001","0.7900000215","0.6660000086","0.01679999940097","6","0.1150000021","0","0","0.2269999981","127.98500061","0.6050000191","2016","ambient trance"
"0PlkL92gKaTLHDfVlxCzx9","3.1500001e-4","0.8190000057","0.8740000129","0.80800002813339","1","0.0886999965","1","0","0.0465000011","121.99900055","0.4410000145","2016","progressive uplifting trance"
"2mverijacB9SQc2NDibHJB","0.0197000001","0.6449999809","0.8579999804","0.86400002241135","8","0.2680000067","1","0","0.0373000018","120.00099945","0.6600000262","2016","experimental dubstep"
"78ck1Lco5A37C7UO4XxAEd","0.0384999998","0.8349999785","0.4909999967","0.58999997377396","0","0.0540000014","0","0","0.0590000004","120.00499725","0.6359999776","2016","progressive uplifting trance"
"2DVqrNFtCT0DWmSdMfHaXj","0.5170000196","0.4930000007","0.0118000004","0.00132000003941","7","0.1209999993","1","0","0.0368999988","105.87999725","0.8069999814","2016","hands up"
"4hJwedBuLfa7VObPiTM5xH","0.648999989","0.6299999952","0.6359999776","0.92599999904633","7","0.3860000074","0","0","0.0270000007","100.9940033","0.6840000153","2016","hands up"
"0DOBit9iQOEe5XOpogCxY1","0.059700001","0.5910000205","0.8590000272","0","7","0.3089999855","1","0","0.0516000018","120.05200195","0.6840000153","2016","hands up"
"2o5MHVPbqoKPeF0PUEUXnU","0.5950000286","0.4079999924","0.7269999981","0.69999998807907","10","0.1379999965","1","0","0.0507000014","85.831001282","0.40200001","2016","hands up"
"4V27ha5zyi95SMjLksc3eR","8.6100001e-5","0.8130000234","0.9549999833","0.93199998140335","11","0.0483000018","1","0","0.0507999994","122","0.9909999967","2016","hands up"
"6jwg69QANkEEw5S51qCdfL","2.72e-4","0.7139999866","0.8610000014","0.58799999952316","7","0.6380000114","1","0","0.3580000103","87.414001465","0.1449999958","2016","hands up"
"6OiAoVwoIJuZVAaSA4t05e","0.2360000014","0.5669999719","0.6330000162","0.2660000026226","1","0.1659999937","1","0","0.0278999992","88.003997803","0.0812000036","2016","hands up"
"6sVRa4TADlZouIAi3mznz1","0.0048500001","0.7239999771","0.949000001","0.04100000113249","6","0.0582000017","0","0","0.0489000008","123.04000092","0.6859999895","2016","turkish folk"
"6QnGmFUUhCSJrjF8SeFXJe","0.5580000281","0.6060000062","0.4480000138","4.14999994973e-5","6","0.1120000035","0","0","0.0242999997","77.913002014","0.1580000073","2016","turkish folk"
"2OeVfUjVzSIz1M8bWec5ct","0.00471","0.7429999709","0.9629999995","0.92400002479553","7","0.123999998","1","0","0.0452000014","135.07400513","0.69599998","2016","desert blues"
"6h4sPyRO4FuUofGg2eaNwd","0.1209999993","0.7969999909","0.8769999743","0.8309999704361","7","0.0838000029","1","0","0.0403000005","127.00499725","0.8529999852","2016","mande pop"
"6610xK0k2cZdwi8R0Vlikv","4.6100002e-5","0.451000005","0.9840000272","0.82300001382828","1","0.0824000016","1","0","0.150000006","173.94999695","0.4059999883","2016","brazilian indie"
"1qKcRkogZ1FNnrVGe54HwD","0.0732999966","0.8579999804","0.6409999728","0.26300001144409","11","0.0394000001","1","2","0.0680000037","122.01699829","0.5490000248","2016","turkish folk"
"7symBv3D1dkmxwpXgJgDN5","0.0027000001","0.5410000086","0.9509999752","0.77999997138977","5","0.3109999895","1","0","0.0966999978","173.99000549","0.3129999936","2016","turkish folk"
"28m0E24G70iyRirEpUjPJM","0.0019","0.7319999933","0.8069999814","0.87900000810623","6","0.0329999998","0","0","0.0438000001","121.99099731","0.2199999988","2016","classical period"
"0udQ9vTEmObslgtcxrADRX","0.0869999975","0.8100000024","0.7440000176","0.67699998617172","9","0.0687000006","0","0","0.0606999993","120","0.92900002","2016","classical period"
"6phNGNMEHaShxQ5eGyEq4z","0.0116999997","0.9399999976","0.6669999957","1.64999994468e-6","0","0.1110000014","0","0","0.0520000011","117.98899841","0.773999989","2016","classical period"
"0BeIk2ucZ3InXtIsqquiJT","0.0200999994","0.8849999905","0.3759999871","0.89700001478195","1","0.1080000028","1","0","0.1110000014","123.02700043","0.1010000035","2016","deep orchestral"
"4tXYqhuRaEkU1PXy9H8ZmZ","0.0121999998","0.7080000043","0.8849999905","0.83700001239777","10","0.1040000021","0","0","0.0778999999","124.98799896","0.5899999738","2016","kwaito"
"294fwjx0ZJMBmsP1XKZVa9","0.0166999996","0.8109999895","0.55400002","0.7960000038147","8","0.0829999968","1","0","0.0822999999","120.01200104","0.4339999855","2016","south african jazz"
"1zv1UfcdNexU69TK72Mlzl","0.00184","0.8069999814","0.6830000281","0.92900002002716","7","0.3569999933","1","0","0.0582999997","120.01399994","0.7779999971","2016","romantic"
"0xbfCJMP9kidwqJyIfprey","0.0099999998","0.8130000234","0.8560000062","0.87099999189377","10","0.0397000015","0","1","0.0692000017","119.99900055","0.6499999762","2016","deep orchestral"
"3W48ckvTvKR637yko3mjfG","3.7099999e-5","0.8460000157","0.7940000296","0.82499998807907","4","0.0615999997","0","0","0.0722000003","120.01599884","0.80400002","2016","deep classic garage rock"
"0UAq48d3qfBSPi3zKe9tJr","0.0060000001","0.7649999857","0.7200000286","0.72100001573563","3","0.2419999987","0","0","0.059799999","121.99900055","0.5490000248","2016","beach music, northern soul"
"0dOdIFe8rgyNNv6oJW4oLo","4.6400001e-4","0.800999999","0.8320000172","0.91399997472763","11","0.3400000036","0","0","0.0803000033","127.99700165","0.7429999709","2016","deep classic garage rock"
